,0
weekly_sales,0.9999258411886615
size,2.5156999000044097e-05
cpi,2.1334730418325544e-05
store,6.036969961469716e-06
fuel_price,5.109645187425681e-06
type_A,4.6253130007419095e-06
temperature,4.424121918704882e-06
unemployment,3.664668393049318e-06
type_B,2.80210337846672e-06
year,6.679098898461844e-07
month,2.730962094030085e-07
dept,6.324262143389909e-08
type_C,1.1359747164391766e-11
dayofweek,0.0
is_weekend,0.0
